Entity,Code,Year,Deaths
Afghanistan,AFG,1990,21.32844596
Afghanistan,AFG,1991,21.01177026
Afghanistan,AFG,1992,21.1928102
Afghanistan,AFG,1993,21.36716939
Afghanistan,AFG,1994,21.09481091
Afghanistan,AFG,1995,21.27591591
Afghanistan,AFG,1996,21.47493203
Afghanistan,AFG,1997,21.37542823
Afghanistan,AFG,1998,20.63807572
Afghanistan,AFG,1999,21.55497368
Afghanistan,AFG,2000,21.49746283
Afghanistan,AFG,2001,21.42048576
Afghanistan,AFG,2002,21.26885115
Afghanistan,AFG,2003,21.66512207
Afghanistan,AFG,2004,21.64842947
Afghanistan,AFG,2005,21.38672712
Afghanistan,AFG,2006,21.03862286
Afghanistan,AFG,2007,20.71481497
Afghanistan,AFG,2008,20.49082254
Afghanistan,AFG,2009,20.26510343
Afghanistan,AFG,2010,19.98843698
Afghanistan,AFG,2011,19.7752428
Afghanistan,AFG,2012,19.50155953
Afghanistan,AFG,2013,19.30868196
Afghanistan,AFG,2014,18.80734854
Afghanistan,AFG,2015,18.37784685
Afghanistan,AFG,2016,17.94432803
Afghanistan,AFG,2017,17.98414655
Afghanistan,AFG,2018,16.52769831
Afghanistan,AFG,2019,16.60950424